,value
286,"2016-02-11 18:07:48 128.230.247.37 GET /content/images/thumbs/0000045_beats-pill-20-wireless-speaker_415.jpeg - 80 - 172.189.252.8 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_11_3)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.109+Safari/537.36 http://group0.ist722.ischool.syr.edu/electronics 200 0 0 7"
287,"2016-02-11 18:07:48 128.230.247.37 GET /content/images/thumbs/0000042_htc-one-mini-blue_415.jpeg - 80 - 172.189.252.8 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_11_3)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.109+Safari/537.36 http://group0.ist722.ischool.syr.edu/electronics 200 0 0 7"
288,"2016-02-11 18:07:48 128.230.247.37 GET /content/images/thumbs/0000044_nokia-lumia-1020_415.jpeg - 80 - 172.189.252.8 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_11_3)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.109+Safari/537.36 http://group0.ist722.ischool.syr.edu/electronics 200 0 0 3"
289,"2016-02-11 18:07:48 128.230.247.37 GET /content/images/thumbs/0000048_portable-sound-speakers_415.jpeg - 80 - 172.189.252.8 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_11_3)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.109+Safari/537.36 http://group0.ist722.ischool.syr.edu/electronics 200 0 0 3"
290,"2016-02-11 18:07:48 128.230.247.37 GET /Themes/DefaultClean/Content/images/view-list.png - 80 - 172.189.252.8 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_11_3)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.109+Safari/537.36 http://group0.ist722.ischool.syr.edu/Themes/DefaultClean/Content/css/styles.css 200 0 0 17"
291,"2016-02-11 18:07:48 128.230.247.37 GET /Themes/DefaultClean/Content/images/view-grid.png - 80 - 172.189.252.8 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_11_3)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.109+Safari/537.36 http://group0.ist722.ischool.syr.edu/Themes/DefaultClean/Content/css/styles.css 200 0 0 18"
292,"2016-02-11 18:07:48 128.230.247.37 GET /Themes/DefaultClean/Content/images/next.png - 80 - 172.189.252.8 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_11_3)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.109+Safari/537.36 http://group0.ist722.ischool.syr.edu/Themes/DefaultClean/Content/css/styles.css 200 0 0 17"
293,"2016-02-11 18:07:50 128.230.247.37 GET /apparel - 80 - 172.189.252.8 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_11_3)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.109+Safari/537.36 http://group0.ist722.ischool.syr.edu/electronics 200 0 0 645"
294,"2016-02-11 18:07:50 128.230.247.37 GET /content/images/thumbs/0000010_shoes_450.jpeg - 80 - 172.189.252.8 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_11_3)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.109+Safari/537.36 http://group0.ist722.ischool.syr.edu/apparel 200 0 0 6"
295,"2016-02-11 18:07:50 128.230.247.37 GET /content/images/thumbs/0000011_clothing_450.jpeg - 80 - 172.189.252.8 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_11_3)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.109+Safari/537.36 http://group0.ist722.ischool.syr.edu/apparel 200 0 0 5"
296,"2016-02-11 18:07:50 128.230.247.37 GET /content/images/thumbs/0000012_apparel-accessories_450.jpg - 80 - 172.189.252.8 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_11_3)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.109+Safari/537.36 http://group0.ist722.ischool.syr.edu/apparel 200 0 0 6"
297,"2016-02-11 18:07:50 128.230.247.37 GET /content/images/thumbs/0000058_levis-511-jeans_415.jpg - 80 - 172.189.252.8 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_11_3)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.109+Safari/537.36 http://group0.ist722.ischool.syr.edu/apparel 200 0 0 14"
298,"2016-02-11 18:07:50 128.230.247.37 GET /content/images/thumbs/0000051_adidas-consortium-campus-80s-running-shoes_415.jpg - 80 - 172.189.252.8 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_11_3)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.109+Safari/537.36 http://group0.ist722.ischool.syr.edu/apparel 200 0 0 16"
299,"2016-02-11 18:07:50 128.230.247.37 GET /content/images/thumbs/0000049_nike-floral-roshe-customized-running-shoes_415.jpg - 80 - 172.189.252.8 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_11_3)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.109+Safari/537.36 http://group0.ist722.ischool.syr.edu/apparel 200 0 0 13"
300,"2016-02-11 18:07:50 128.230.247.37 GET /content/images/thumbs/0000055_nike-tailwind-loose-short-sleeve-running-shirt_415.jpg - 80 - 172.189.252.8 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_11_3)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.109+Safari/537.36 http://group0.ist722.ischool.syr.edu/apparel 200 0 0 12"
301,"2016-02-11 18:07:50 128.230.247.37 GET /content/images/thumbs/0000057_custom-t-shirt_415.jpeg - 80 - 172.189.252.8 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_11_3)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.109+Safari/537.36 http://group0.ist722.ischool.syr.edu/apparel 200 0 0 32"
302,"2016-02-11 18:07:50 128.230.247.37 GET /content/images/thumbs/0000054_nike-sb-zoom-stefan-janoski-medium-mint_415.jpg - 80 - 172.189.252.8 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_11_3)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.109+Safari/537.36 http://group0.ist722.ischool.syr.edu/apparel 200 0 0 22"
303,"2016-02-11 18:07:53 128.230.247.37 GET /computers - 80 - 172.189.252.8 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_11_3)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.109+Safari/537.36 http://group0.ist722.ischool.syr.edu/apparel 200 0 0 703"
304,"2016-02-11 18:07:53 128.230.247.37 GET /content/images/thumbs/0000002_desktops_450.jpg - 80 - 172.189.252.8 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_11_3)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.109+Safari/537.36 http://group0.ist722.ischool.syr.edu/computers 200 0 0 4"
305,"2016-02-11 18:07:53 128.230.247.37 GET /content/images/thumbs/0000032_adobe-photoshop-cs4_415.jpeg - 80 - 172.189.252.8 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_11_3)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.109+Safari/537.36 http://group0.ist722.ischool.syr.edu/computers 200 0 0 3"
306,"2016-02-11 18:07:53 128.230.247.37 GET /content/images/thumbs/0000003_notebooks_450.jpg - 80 - 172.189.252.8 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_11_3)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.109+Safari/537.36 http://group0.ist722.ischool.syr.edu/computers 200 0 0 4"
307,"2016-02-11 18:07:53 128.230.247.37 GET /content/images/thumbs/0000004_software_450.jpg - 80 - 172.189.252.8 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_11_3)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.109+Safari/537.36 http://group0.ist722.ischool.syr.edu/computers 200 0 0 3"
308,"2016-02-11 18:07:53 128.230.247.37 GET /content/images/thumbs/0000026_asus-n551jk-xo076h-laptop_415.jpeg - 80 - 172.189.252.8 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_11_3)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.109+Safari/537.36 http://group0.ist722.ischool.syr.edu/computers 200 0 0 8"
309,"2016-02-11 18:07:53 128.230.247.37 GET /content/images/thumbs/0000022_digital-storm-vanquish-3-custom-performance-pc_415.jpeg - 80 - 172.189.252.8 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_11_3)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.109+Safari/537.36 http://group0.ist722.ischool.syr.edu/computers 200 0 0 21"
310,"2016-02-11 18:07:53 128.230.247.37 GET /content/images/thumbs/0000030_hp-envy-6-1180ca-156-inch-sleekbook_415.jpeg - 80 - 172.189.252.8 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_11_3)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.109+Safari/537.36 http://group0.ist722.ischool.syr.edu/computers 200 0 0 5"
311,"2016-02-11 18:07:55 128.230.247.37 GET /digital-downloads - 80 - 172.189.252.8 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_11_3)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.109+Safari/537.36 http://group0.ist722.ischool.syr.edu/computers 200 0 0 155"
312,"2016-02-11 18:07:55 128.230.247.37 GET /content/images/thumbs/0000063_night-visions_415.jpeg - 80 - 172.189.252.8 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_11_3)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.109+Safari/537.36 http://group0.ist722.ischool.syr.edu/digital-downloads 200 0 0 19"
313,"2016-02-11 18:07:55 128.230.247.37 GET /content/images/thumbs/0000065_science-faith_415.jpeg - 80 - 172.189.252.8 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_11_3)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.109+Safari/537.36 http://group0.ist722.ischool.syr.edu/digital-downloads 200 0 0 21"
314,"2016-02-11 18:07:55 128.230.247.37 GET /content/images/thumbs/0000064_if-you-wait_415.jpeg - 80 - 172.189.252.8 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_11_3)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.109+Safari/537.36 http://group0.ist722.ischool.syr.edu/digital-downloads 200 0 0 29"
315,"2016-02-11 18:07:57 128.230.247.37 GET /apparel - 80 - 172.189.252.8 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_11_3)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.109+Safari/537.36 http://group0.ist722.ischool.syr.edu/digital-downloads 200 0 0 178"
316,"2016-02-11 18:07:58 128.230.247.37 GET /books - 80 - 172.189.252.8 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_11_3)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.109+Safari/537.36 http://group0.ist722.ischool.syr.edu/apparel 200 0 0 156"
317,"2016-02-11 18:07:58 128.230.247.37 GET /content/images/thumbs/0000067_first-prize-pies_415.jpeg - 80 - 172.189.252.8 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_11_3)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.109+Safari/537.36 http://group0.ist722.ischool.syr.edu/books 200 0 0 17"
318,"2016-02-11 18:07:58 128.230.247.37 GET /content/images/thumbs/0000066_fahrenheit-451-by-ray-bradbury_415.jpeg - 80 - 172.189.252.8 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_11_3)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.109+Safari/537.36 http://group0.ist722.ischool.syr.edu/books 200 0 0 23"
319,"2016-02-11 18:07:58 128.230.247.37 GET /content/images/thumbs/0000068_pride-and-prejudice_415.jpeg - 80 - 172.189.252.8 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_11_3)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.109+Safari/537.36 http://group0.ist722.ischool.syr.edu/books 200 0 0 36"
320,"2016-02-11 18:08:00 128.230.247.37 GET /electronics - 80 - 172.189.252.8 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_11_3)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.109+Safari/537.36 http://group0.ist722.ischool.syr.edu/books 200 0 0 179"
321,"2016-02-11 18:08:01 128.230.247.37 GET /htc-one-m8-android-l-50-lollipop - 80 - 172.189.252.8 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_11_3)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.109+Safari/537.36 http://group0.ist722.ischool.syr.edu/electronics 200 0 0 119"
322,"2016-02-11 18:08:01 128.230.247.37 GET /Content/magnific-popup/magnific-popup.css - 80 - 172.189.252.8 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_11_3)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.109+Safari/537.36 http://group0.ist722.ischool.syr.edu/htc-one-m8-android-l-50-lollipop 200 0 0 4"
323,"2016-02-11 18:08:01 128.230.247.37 GET /Scripts/jquery.magnific-popup.min.js - 80 - 172.189.252.8 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_11_3)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.109+Safari/537.36 http://group0.ist722.ischool.syr.edu/htc-one-m8-android-l-50-lollipop 200 0 0 4"
324,"2016-02-11 18:08:01 128.230.247.37 GET /content/images/thumbs/0000041_htc-one-m8-android-l-50-lollipop_550.jpeg - 80 - 172.189.252.8 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_11_3)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.109+Safari/537.36 http://group0.ist722.ischool.syr.edu/htc-one-m8-android-l-50-lollipop 200 0 0 6"
325,"2016-02-11 18:08:01 128.230.247.37 GET /Themes/DefaultClean/Content/images/email-button.png - 80 - 172.189.252.8 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_11_3)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.109+Safari/537.36 http://group0.ist722.ischool.syr.edu/Themes/DefaultClean/Content/css/styles.css 200 0 0 50"
326,"2016-02-11 18:08:03 128.230.247.37 POST /addproducttocart/details/18/1 - 80 - 172.189.252.8 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_11_3)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.109+Safari/537.36 http://group0.ist722.ischool.syr.edu/htc-one-m8-android-l-50-lollipop 200 0 0 105"
327,"2016-02-11 18:08:03 128.230.247.37 GET /content/images/thumbs/0000041_htc-one-m8-android-l-50-lollipop_70.jpeg - 80 - 172.189.252.8 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_11_3)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.109+Safari/537.36 http://group0.ist722.ischool.syr.edu/htc-one-m8-android-l-50-lollipop 200 0 0 4"
328,"2016-02-11 18:08:03 128.230.247.37 GET /Themes/DefaultClean/Content/images/close.png - 80 - 172.189.252.8 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_11_3)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.109+Safari/537.36 http://group0.ist722.ischool.syr.edu/Themes/DefaultClean/Content/css/styles.css 200 0 0 29"
329,"2016-02-11 18:08:08 128.230.247.37 POST /addproducttocart/details/18/1 - 80 - 172.189.252.8 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_11_3)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.109+Safari/537.36 http://group0.ist722.ischool.syr.edu/htc-one-m8-android-l-50-lollipop 200 0 0 62"
330,"2016-02-11 18:08:12 128.230.247.37 GET /cart - 80 - 172.189.252.8 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_11_3)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.109+Safari/537.36 http://group0.ist722.ischool.syr.edu/htc-one-m8-android-l-50-lollipop 200 0 0 492"
331,"2016-02-11 18:08:12 128.230.247.37 GET /content/images/thumbs/0000041_htc-one-m8-android-l-50-lollipop_80.jpeg - 80 - 172.189.252.8 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_11_3)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.109+Safari/537.36 http://group0.ist722.ischool.syr.edu/cart 200 0 0 3"
332,"2016-02-11 18:08:15 128.230.247.37 POST /cart - 80 - 172.189.252.8 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_11_3)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.109+Safari/537.36 http://group0.ist722.ischool.syr.edu/cart 200 0 0 363"
333,"2016-02-11 18:08:15 128.230.247.37 POST /cart - 80 - 172.189.252.8 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_11_3)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.109+Safari/537.36 http://group0.ist722.ischool.syr.edu/cart 302 0 0 18"
334,"2016-02-11 18:08:15 128.230.247.37 GET /electronics - 80 - 172.189.252.8 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_11_3)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.109+Safari/537.36 http://group0.ist722.ischool.syr.edu/cart 200 0 0 184"
335,"2016-02-11 18:08:15 128.230.247.37 GET /content/images/thumbs/0000041_htc-one-m8-android-l-50-lollipop_64.jpeg - 80 - 172.189.252.8 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_11_3)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.109+Safari/537.36 http://group0.ist722.ischool.syr.edu/electronics 200 0 0 11"
336,"2016-02-11 18:08:18 128.230.247.37 POST /addproducttocart/catalog/23/1/1 - 80 - 172.189.252.8 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_11_3)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.109+Safari/537.36 http://group0.ist722.ischool.syr.edu/electronics 200 0 0 129"
337,"2016-02-11 18:08:18 128.230.247.37 GET /content/images/thumbs/0000048_portable-sound-speakers_70.jpeg - 80 - 172.189.252.8 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_11_3)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.109+Safari/537.36 http://group0.ist722.ischool.syr.edu/electronics 200 0 0 4"
338,"2016-02-11 18:11:21 128.230.247.37 GET / - 80 - 155.100.169.152 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/47.0.2526.111+Safari/537.36 - 200 0 0 105"
339,"2016-02-11 18:11:21 128.230.247.37 GET /Content/jquery-ui-themes/smoothness/jquery-ui-1.10.3.custom.min.css - 80 - 155.100.169.152 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/47.0.2526.111+Safari/537.36 http://group0.ist722.ischool.syr.edu/ 200 0 0 10"
340,"2016-02-11 18:11:21 128.230.247.37 GET /Plugins/Widgets.NivoSlider/Content/nivoslider/nivo-slider.css - 80 - 155.100.169.152 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/47.0.2526.111+Safari/537.36 http://group0.ist722.ischool.syr.edu/ 200 0 0 21"
341,"2016-02-11 18:11:21 128.230.247.37 GET /Scripts/jquery.validate.unobtrusive.min.js - 80 - 155.100.169.152 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/47.0.2526.111+Safari/537.36 http://group0.ist722.ischool.syr.edu/ 200 0 0 14"
342,"2016-02-11 18:11:21 128.230.247.37 GET /Scripts/jquery-1.10.2.min.js - 80 - 155.100.169.152 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/47.0.2526.111+Safari/537.36 http://group0.ist722.ischool.syr.edu/ 200 0 0 23"
343,"2016-02-11 18:11:21 128.230.247.37 GET /Scripts/jquery.validate.min.js - 80 - 155.100.169.152 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/47.0.2526.111+Safari/537.36 http://group0.ist722.ischool.syr.edu/ 200 0 0 22"
344,"2016-02-11 18:11:21 128.230.247.37 GET /Scripts/public.common.js - 80 - 155.100.169.152 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/47.0.2526.111+Safari/537.36 http://group0.ist722.ischool.syr.edu/ 200 0 0 0"
345,"2016-02-11 18:11:21 128.230.247.37 GET /Plugins/Widgets.NivoSlider/Content/nivoslider/themes/custom/custom.css - 80 - 155.100.169.152 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/47.0.2526.111+Safari/537.36 http://group0.ist722.ischool.syr.edu/ 200 0 0 27"
346,"2016-02-11 18:11:21 128.230.247.37 GET /Scripts/jquery-migrate-1.2.1.min.js - 80 - 155.100.169.152 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/47.0.2526.111+Safari/537.36 http://group0.ist722.ischool.syr.edu/ 200 0 0 5"
347,"2016-02-11 18:11:21 128.230.247.37 GET /Themes/DefaultClean/Content/css/styles.css - 80 - 155.100.169.152 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/47.0.2526.111+Safari/537.36 http://group0.ist722.ischool.syr.edu/ 200 0 0 43"
348,"2016-02-11 18:11:21 128.230.247.37 GET /Scripts/public.ajaxcart.js - 80 - 155.100.169.152 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/47.0.2526.111+Safari/537.36 http://group0.ist722.ischool.syr.edu/ 200 0 0 2"
349,"2016-02-11 18:11:21 128.230.247.37 GET /Themes/DefaultClean/Content/images/logo.png - 80 - 155.100.169.152 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/47.0.2526.111+Safari/537.36 http://group0.ist722.ischool.syr.edu/ 200 0 0 9"
350,"2016-02-11 18:11:21 128.230.247.37 GET /Scripts/jquery-ui-1.10.3.custom.min.js - 80 - 155.100.169.152 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/47.0.2526.111+Safari/537.36 http://group0.ist722.ischool.syr.edu/ 200 0 0 50"
351,"2016-02-11 18:11:21 128.230.247.37 GET /Plugins/Widgets.NivoSlider/Scripts/jquery.nivo.slider.js - 80 - 155.100.169.152 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/47.0.2526.111+Safari/537.36 http://group0.ist722.ischool.syr.edu/ 200 0 0 61"
352,"2016-02-11 18:11:21 128.230.247.37 GET /content/images/thumbs/0000075_banner_1.jpg - 80 - 155.100.169.152 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/47.0.2526.111+Safari/537.36 http://group0.ist722.ischool.syr.edu/ 200 0 0 6"
353,"2016-02-11 18:11:21 128.230.247.37 GET /content/images/thumbs/0000076_banner_2.jpg - 80 - 155.100.169.152 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/47.0.2526.111+Safari/537.36 http://group0.ist722.ischool.syr.edu/ 200 0 0 6"
354,"2016-02-11 18:11:21 128.230.247.37 GET /content/images/thumbs/0000005_electronics_450.jpeg - 80 - 155.100.169.152 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/47.0.2526.111+Safari/537.36 http://group0.ist722.ischool.syr.edu/ 200 0 0 10"
355,"2016-02-11 18:11:21 128.230.247.37 GET /content/images/thumbs/0000013_digital-downloads_450.jpeg - 80 - 155.100.169.152 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/47.0.2526.111+Safari/537.36 http://group0.ist722.ischool.syr.edu/ 200 0 0 10"
356,"2016-02-11 18:11:21 128.230.247.37 GET /content/images/thumbs/0000009_apparel_450.jpeg - 80 - 155.100.169.152 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/47.0.2526.111+Safari/537.36 http://group0.ist722.ischool.syr.edu/ 200 0 0 10"
357,"2016-02-11 18:11:21 128.230.247.37 GET /content/images/thumbs/0000072_25-virtual-gift-card_415.jpeg - 80 - 155.100.169.152 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/47.0.2526.111+Safari/537.36 http://group0.ist722.ischool.syr.edu/ 200 0 0 12"
358,"2016-02-11 18:11:21 128.230.247.37 GET /content/images/thumbs/0000024_apple-macbook-pro-13-inch_415.jpeg - 80 - 155.100.169.152 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/47.0.2526.111+Safari/537.36 http://group0.ist722.ischool.syr.edu/ 200 0 0 7"
359,"2016-02-11 18:11:21 128.230.247.37 GET /content/images/thumbs/0000041_htc-one-m8-android-l-50-lollipop_415.jpeg - 80 - 155.100.169.152 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/47.0.2526.111+Safari/537.36 http://group0.ist722.ischool.syr.edu/ 200 0 0 6"
360,"2016-02-11 18:11:21 128.230.247.37 GET /content/images/thumbs/0000020_build-your-own-computer_415.jpeg - 80 - 155.100.169.152 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/47.0.2526.111+Safari/537.36 http://group0.ist722.ischool.syr.edu/ 200 0 0 10"
361,"2016-02-11 18:11:21 128.230.247.37 GET /Themes/DefaultClean/Content/images/loading.gif - 80 - 155.100.169.152 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/47.0.2526.111+Safari/537.36 http://group0.ist722.ischool.syr.edu/Themes/DefaultClean/Content/css/styles.css 200 0 0 19"
